batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
0,0,1,-4.6308,0.323493,-5.7402,-3.82629,-4.82874,-4.61045,-4.42479
1,512,0.99999,-4.58398,0.304259,-5.44118,-3.53033,-4.78217,-4.58441,-4.39017
2,1024,0.99998,-4.58704,0.330107,-5.90411,-3.75123,-4.81189,-4.59605,-4.36382
3,1536,0.99997,-4.6163,0.332988,-5.78431,-3.60784,-4.83977,-4.6155,-4.38588
4,2048,0.999959,-4.60231,0.32977,-5.95098,-3.61826,-4.80806,-4.59069,-4.39928
5,2560,0.999949,-4.58841,0.319201,-5.91177,-3.28768,-4.80561,-4.58456,-4.3835
6,3072,0.999939,-4.60446,0.337823,-5.79412,-3.66881,-4.80231,-4.59804,-4.3822
7,3584,0.999929,-4.58646,0.340764,-6.06863,-3.74786,-4.78317,-4.56127,-4.34658
8,4096,0.999919,-4.5914,0.310724,-5.65686,-3.59957,-4.77903,-4.58364,-4.39576
9,4608,0.999909,-4.60047,0.326344,-5.60662,-3.59406,-4.82253,-4.5936,-4.38741
10,5120,0.999899,-4.60571,0.332256,-5.78431,-3.68168,-4.80116,-4.59911,-4.38948
11,5632,0.999888,-4.57804,0.325674,-5.73529,-3.10447,-4.78248,-4.56357,-4.36964
12,6144,0.999878,-4.57397,0.316713,-5.69608,-3.63848,-4.77099,-4.56097,-4.35869
13,6656,0.999868,-4.60894,0.322627,-5.58824,-3.81893,-4.82276,-4.60692,-4.39323
14,7168,0.999858,-4.59308,0.316221,-6.12745,-3.74847,-4.79795,-4.58808,-4.3701
15,7680,0.999848,-4.598,0.308986,-5.63726,-3.63542,-4.80331,-4.59237,-4.39606
16,8192,0.999838,-4.58227,0.332863,-5.91177,-3.572,-4.79634,-4.57874,-4.34957
17,8704,0.999828,-4.56787,0.324352,-5.97059,-3.06587,-4.78669,-4.57414,-4.3403
18,9216,0.999818,-4.56714,0.304681,-5.58824,-3.67555,-4.7454,-4.56756,-4.36213
19,9728,0.999807,-4.60011,0.359245,-6.14706,-3.66207,-4.81947,-4.56434,-4.32652
20,10240,0.999797,-4.60183,0.326149,-5.77451,-3.82353,-4.80339,-4.58992,-4.38434
21,10752,0.999787,-4.57424,0.326546,-5.63726,-3.57782,-4.7598,-4.56082,-4.35623
